,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),Outlier,Latitude,Longitude,Address,City,State,ZipCode,AgeofBuilding,MeanBuildingGFA,MeanFloorGFA,BuildingGFApct,ParkingGFApct
2723,26611,2015,NonResidential,Medical Office,Neighborcare Health Medical Clinic,Southeast,1.0,2.0,25880,Medical Office,,14.0,1838121.0,21.78,, 47.51946634, -122.269303, 9245 Rainier Ave S, Seattle, WA,98118,5,25880.0,12940.0,1.0,0.0
2691,26611,2016,NonResidential,Medical Office,Rainier Beach Medical & Dental Clinic,Southeast,1.0,2.0,25880,Medical Office,,8.0,1941728.75,19.81,,47.5195,-122.26935,9245 Rainier Ave S,Seattle,WA,98118,6,25880.0,12940.0,1.0,0.0
2727,26657,2015,NonResidential,Worship Facility,University Lutheran Church,Northeast,1.0,3.0,41013,Worship Facility,,,1271271.0,43.86,, 47.66529949, -122.3104352, 1604 Ne 50Th St, Seattle, WA,98105,88,41013.0,13671.0,1.0,0.0
2695,26657,2016,NonResidential,Worship Facility,University Lutheran Church,Northeast,1.0,3.0,41013,Worship Facility,,,1080821.0,37.43,,47.66517,-122.31037,1604 Ne 50Th St,Seattle,WA,98105,89,41013.0,13671.0,1.0,0.0
2729,26667,2015,NonResidential,Other,Student Religious Assembly Center,Northeast,1.0,2.0,21075,Social/Meeting Hall,,,1515375.0,49.46,, 47.66456008, -122.3099857, 4751 17Th Ave Ne, Seattle, WA,98105,11,21075.0,10537.5,1.0,0.0
2697,26667,2016,NonResidential,Other,Hillel Foundation,Northeast,1.0,2.0,21075,Social/Meeting Hall,,,1581036.75,53.88,,47.66453,-122.30999,4745 17Th Ave. Ne,Seattle,WA,98105,12,21075.0,10537.5,1.0,0.0
2731,26670,2015,NonResidential,Worship Facility,Calvary Temple Church,Northeast,1.0,3.0,46485,Worship Facility,,71.0,1767480.0,47.25,, 47.67841289, -122.3195051, 6801 Roosevelt Way Ne, Seattle, WA,98115,65,46485.0,15495.0,1.0,0.0
2699,26670,2016,NonResidential,Worship Facility,Calvary Christian Assembly,Northeast,1.0,3.0,46485,Worship Facility,,83.0,1544995.75,47.03,,47.67842,-122.31949,6801 Roosevelt Way Ne,Seattle,WA,98133,66,46485.0,15495.0,1.0,0.0
2736,26681,2015,NonResidential,Small- and Mid-Sized Office,Ravenna Office Building,Northwest,1.0,4.0,56896,Office,,81.0,1897180.0,29.42,, 47.67821286, -122.3232907, 444 Ne Ravenna Blvd, Seattle, WA,98115,50,56896.0,14224.0,0.7165354330708661,0.28346456692913385
2704,26681,2016,NonResidential,Small- and Mid-Sized Office,(Id#26681) Ravenna Office Bldg,Northwest,1.0,4.0,56896,Office,,96.0,1402048.5,28.46,,47.67819,-122.3231,444 Ne Ravenna Blvd,Seattle,WA,98115,51,56896.0,14224.0,1.0,0.0
